number0,system_nam,owner_type,d_prin_cit,d_prin_cnt,d_fed_prim,d_populati,d_ttl_stor,d_pws_fed_,has_nmdwb_data,num_gw_facilities,has_gw_facilities_ind,num_sw_gu_facilities,num_sw_facilities,num_gu_facilities,has_sw_facilities_ind,has_gu_facilities_ind,surface_ground_facility_type,surf_wtr_ratio_if_spws,surf_wtr_pur_ratio_if_spws,grnd_wtr_udi_ratio_if_spws,grnd_wtr_udi_purch_if_spws,surface_pws,surface_ratio_if_spws,has_source_ratio_surface_pws,mhi_2010,has_mhi_data,has_drinking_water_data,ratio_pws_mhi_over_state_mhi,disadvantage_status_type,total_intakes,sw_intakes,gw_intakes,gu_intakes,total_gu_sw_intakes,alternative_intakes,impacted_sw_intakes,impacted_gu_intakes,impacted_gu_sw_water_intakes,ratio_impacted_gu_sw_over_all,ratio_gu_sw_impacted_over_gu_sw,has_surface_intake_geo_info,seller_number0_1,seller_system_name_1,seller_pop_1,seller_number0_2,seller_system_name_2,seller_pop_2,surfacepurchaser_status,has_surfacepurchase_data,wotus2020_dwv_index,seller_wotus2020_dwv_index_1,seller_wotus2020_dwv_index_2,index_summary
NM3500101,BEARCAT HOMEOWNERS ASSOCIATION,P,TIJERAS,BERNALILLO,GW,60.0,10000.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,62539,Yes,Yes,1.3012964,Non-Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500104,SPRINGER CORRECTIONAL FACILITY,S,SPRINGER,COLFAX,SWP,350.0,439000.0,NTNC,Yes,0.0,0.0,1.0,1.0,0.0,1.0,0.0,Surface,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,NM3526604,SPRINGER WATER SYSTEM,1363.0,,,,A,Yes,6.0,6.0,,Direct Impact Non-Community Water System
NM3500109,ROSEDALE MDWCA,L,SILVER CITY,GRANT,GWP,256.0,0.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,49087,Yes,Yes,1.0213903,Non-Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500112,VIRDEN WATER SYSTEM,L,LORDSBURG,HIDALGO,GW,118.0,146000.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,40909,Yes,Yes,.85122454,Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500113,MORWEST CORPORATION,P,ARTESIA,LEA,GW,0.0,540000.0,C,Yes,7.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,L,LOS ALAMOS,LOS ALAMOS,GW,25000.0,38680000.0,C,Yes,10.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,113665,Yes,Yes,2.3651137,Non-Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500117,WHITE CLIFFS MDWUA,L,GALLUP,MCKINLEY,GW,303.0,21000.0,C,Yes,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,44286,Yes,Yes,.92149234,Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500119,WEED WATER USERS ASSOCIATION,L,WEED,OTERO,GW,73.0,35000.0,C,Yes,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,19334,Yes,Yes,.40229717,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500120,RUSSELLS ENDEE TRUCK AND TRAVEL CTR 2,P,GLENRIO,QUAY,GW,475.0,30000.0,NTNC,Yes,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500121,CHAMITA MDWCA,L,CHAMITA,RIO ARRIBA,GW,1026.0,225000.0,C,Yes,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,32389,Yes,Yes,.67394245,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
